finished hamming 
3 2788,3429,1
4 2761,3429,1
5 2838,3429,1
6 2919,3429,1
7 3034,3429,1
8 2946,3429,1
9 2906,3429,1
10 2813,3429,1
11 2745,3429,1
12 2818,3429,1
13 2840,3429,1
14 2744,3429,1
15 2702,3429,1
16 2681,3429,1
17 2785,3429,1
18 2749,3429,1
19 2545,3429,1
20 2557,3429,1
21 2696,3429,1
22 2695,3429,1
23 2498,3429,1
24 2503,3429,1
25 2660,3429,1
26 2511,3429,1
27 2504,3429,1
28 2627,3429,1
29 2518,3429,1
30 2509,3429,1
31 2617,3429,1
32 2488,3429,1
33 2488,3429,1
34 2483,3429,1
35 2324,3429,1
36 2361,3429,1
37 2431,3429,1
38 2276,3429,1
39 2327,3429,1
40 2402,3429,1
41 2245,3429,1
42 2301,3429,1
43 2297,3429,1
44 2310,3429,1
45 2292,3429,1
46 2287,3429,1
47 2302,3429,1
48 2287,3429,1
49 2284,3429,1
50 2297,3429,1
51 2287,3429,1
52 2280,3429,1
53 2193,3429,1
54 2237,3429,1
55 2169,3429,1
56 2221,3429,1
57 2155,3429,1
58 2211,3429,1
59 2148,3429,1
60 2190,3429,1
61 2130,3429,1
62 2169,3429,1
63 2117,3429,1
64 2165,3429,1
65 2097,3429,1
66 2141,3429,1
67 2076,3429,1
68 2117,3429,1
69 2058,3429,1
70 2116,3429,1
71 2052,3429,1
72 2108,3429,1
73 2001,3429,1
74 1973,3429,1
75 1903,3429,1
76 1938,3429,1
77 1869,3429,1
78 1919,3429,1
79 1847,3429,1
80 1895,3429,1
81 1792,3429,1
82 1855,3429,1
83 1777,3429,1
84 1844,3429,1
85 1768,3429,1
86 1836,3429,1
87 1757,3429,1
88 1818,3429,1
89 1737,3429,1
90 1813,3429,1
91 1732,3429,1
92 1802,3429,1
93 1725,3429,1
94 1794,3429,1
95 1715,3429,1
96 1780,3429,1
97 1714,3429,1
98 1769,3429,1
99 1713,3429,1
100 1758,3429,1
101 1716,3429,1
102 1756,3429,1
103 1715,3429,1
104 1753,3429,1
105 1714,3429,1
106 1749,3429,1
107 1713,3429,1
108 1741,3429,1
109 1716,3429,1
110 1739,3429,1
111 1713,3429,1
112 1727,3429,1
113 1716,3429,1
114 1726,3429,1
115 1714,3429,1
116 1724,3429,1
117 1714,3429,1
118 1723,3429,1
119 1714,3429,1
120 1720,3429,1
121 1715,3429,1
122 1719,3429,1
123 1715,3429,1
124 1719,3429,1
125 1715,3429,1
126 1718,3429,1
127 1715,3429,1
128 1718,3429,1
129 1714,3429,1
130 1717,3429,1
131 1714,3429,1
132 1716,3429,1
133 1714,3429,1
134 1715,3429,1
135 1715,3429,1
136 1715,3429,1
137 1715,3429,1
138 1715,3429,1
139 1715,3429,1
140 1715,3429,1
141 1714,3429,1
142 1714,3429,1
143 1714,3429,1
144 1714,3429,1
145 1713,3429,1
146 1686,3429,1
147 1655,3429,1
148 1642,3429,1
149 1640,3429,1
150 1625,3429,1
151 1615,3429,1
152 1612,3429,1
153 1602,3429,1
154 1599,3429,1
155 1589,3429,1
156 1558,3429,1
157 1532,3429,1
158 1518,3429,1
159 1503,3429,1
160 1498,3429,1
161 1473,3429,1
162 1466,3429,1
163 1464,3429,1
164 1460,3429,1
165 1443,3429,1
166 1435,3429,1
167 1434,3429,1
168 1427,3429,1
169 1421,3429,1
170 1417,3429,1
171 1415,3429,1
172 1415,3429,1
173 1413,3429,1
174 1402,3429,1
175 1398,3429,1
176 1388,3429,1
177 1387,3429,1
178 1385,3429,1
179 1379,3429,1
180 1375,3429,1
181 1359,3429,1
182 1356,3429,1
183 1354,3429,1
184 1351,3429,1
185 1342,3429,1
186 1337,3429,1
187 1329,3429,1
188 1322,3429,1
189 1317,3429,1
190 1304,3429,1
191 1300,3429,1
192 1299,3429,1
193 1299,3429,1
194 1287,3429,1
195 1284,3429,1
196 1276,3429,1
197 1261,3429,1
198 1253,3429,1
199 1252,3429,1
200 1252,3429,1
201 1245,3429,1
202 1244,3429,1
